"","Name","Description"
"7673","ENSG00000135245.9","HILPDA"
"7690","ENSG00000186591.7","UBE2H"
"7739","ENSG00000105939.8","ZC3HAV1"
"7749","ENSG00000006459.6","JHDM1D"
"7796","ENSG00000170379.15","FAM115C"
"7819","ENSG00000155660.6","PDIA4"
"7837","ENSG00000196456.4","ZNF775"
"7849","ENSG00000164867.6","NOS3"
"7895","ENSG00000105993.10","DNAJB6"
"7899","ENSG00000146918.15","NCAPG2"
"7917","ENSG00000091879.9","ANGPT2"
"7949","ENSG00000173281.4","PPP1R3B"
"7956","ENSG00000171056.6","SOX7"
"8005","ENSG00000104613.7","INTS10"
"8026","ENSG00000104635.9","SLC39A14"
"8036","ENSG00000120889.8","TNFRSF10B"
"8038","ENSG00000173530.5","TNFRSF10D"
"8039","ENSG00000104689.5","TNFRSF10A"
"8042","ENSG00000134013.11","LOXL2"
"8046","ENSG00000167034.9","NKX3-1"
"8102","ENSG00000133874.1","RNF122"
"8156","ENSG00000120925.9","RNF170"
"8162","ENSG00000221869.4","CEBPD"
"8226","ENSG00000213865.3","C8orf44"
"8265","ENSG00000137558.3","PI15"
"8280","ENSG00000164687.6","FABP5"
"8294","ENSG00000185015.3","CA13"
"8314","ENSG00000104312.6","RIPK2"
"8336","ENSG00000164949.3","GEM"
"8385","ENSG00000155090.10","KLF10"
"8442","ENSG00000136986.5","DERL1"
"8467","ENSG00000136997.10","MYC"
"8494","ENSG00000123908.7","AGO2"
"8500","ENSG00000184489.7","PTP4A3"
"8504","ENSG00000198576.2","ARC"
"8565","ENSG00000185803.4","SLC52A2"
"8585","ENSG00000197363.5","ZNF517"
"8602","ENSG00000080608.9","KIAA0020"
"8620","ENSG00000120217.9","CD274"
"8654","ENSG00000147872.5","PLIN2"
"8704","ENSG00000086061.11","DNAJA1"
"8706","ENSG00000086062.8","B4GALT1"
"8711","ENSG00000165269.8","AQP7"
"8740","ENSG00000137094.10","DNAJB5"
"8756","ENSG00000137135.13","ARHGEF39"
"8901","ENSG00000135047.10","CTSL"
"8907","ENSG00000213694.3","S1PR3"
"8912","ENSG00000130222.6","GADD45G"
"8916","ENSG00000165030.3","NFIL3"
"8980","ENSG00000119523.8","ALG2"
"8981","ENSG00000106803.5","SEC61B"
"8982","ENSG00000119508.13","NR4A3"
"8984","ENSG00000023318.7","ERP44"
"9026","ENSG00000119326.10","CTNNAL1"
"9032","ENSG00000241978.5","AKAP2"
"9058","ENSG00000136868.9","SLC31A1"
"9145","ENSG00000044574.7","HSPA5"
"9207","ENSG00000095319.10","NUP188"
"9213","ENSG00000188483.6","IER5L"
"9267","ENSG00000148248.9","SURF4"
"9318","ENSG00000187922.9","LCN10"
"9319","ENSG00000267206.1","LCN6"
"9384","ENSG00000107937.14","GTPBP4"
"9391","ENSG00000067082.10","KLF6"
"9408","ENSG00000134470.15","IL15RA"
"9472","ENSG00000165997.4","ARL5B"
"9497","ENSG00000185875.8","THNSL1"
"9505","ENSG00000136758.14","YME1L1"
